# AoA deg, Cl, Cd, Cm
-5.000000000000000000e+00 -1.870416094091116310e-01 5.778360077765312382e-04 9.204563983489862100e-02
-4.000000000000000000e+00 -1.049352187833730993e-01 1.804305013508220826e-04 3.066212934956844688e-02
-3.000000000000000000e+00 -2.273325083168806909e-02 9.827327610081830066e-06 -3.058109510362787622e-02
-2.000000000000000000e+00 5.951640287887248471e-02 6.565216260850637281e-05 -9.173430578133884294e-02
-1.000000000000000000e+00 1.424950429381068306e-01 3.415301249344929722e-04 -1.537225544453706683e-01
0.000000000000000000e+00 2.248524509595086762e-01 8.419633854871882202e-04 -2.150341704329992720e-01
1.000000000000000000e+00 3.070359167544267076e-01 1.570284973689823347e-03 -2.763164372689121406e-01
2.000000000000000000e+00 3.890978871113235926e-01 2.517576877421805019e-03 -3.377383856755215574e-01
3.000000000000000000e+00 4.709162491675916162e-01 3.684995738741314586e-03 -3.992582859656486627e-01
4.000000000000000000e+00 5.524334452312491539e-01 5.071048762204341184e-03 -4.609072351313097116e-01
5.000000000000000000e+00 6.336518763979093194e-01 6.671986122490590129e-03 -5.227826752692681378e-01
6.000000000000000000e+00 7.144302210400600428e-01 8.488603611288962972e-03 -5.848048611658048790e-01
7.000000000000000000e+00 7.947701942259962626e-01 1.051696686193062322e-02 -6.470573978486364730e-01
8.000000000000000000e+00 8.746745400649901248e-01 1.274667227013779984e-02 -7.096232349053659405e-01
9.000000000000000000e+00 9.540276629539555797e-01 1.518843215248137299e-02 -7.724230640823497307e-01
1.000000000000000000e+01 1.032837452207049589e+00 1.783268328814814271e-02 -8.355273816050489133e-01
