# AoA deg, Cl, Cd, Cm
-5.000000000000000000e+00 -2.106874618011413958e-01 1.319376999383741617e-02 1.116180283486643415e-01
-4.000000000000000000e+00 -1.294114043397676661e-01 1.061322678505851810e-02 4.652233811004963943e-02
-3.000000000000000000e+00 -4.561447089559975132e-02 9.312350913400782582e-03 -1.958932071667862998e-02
-2.000000000000000000e+00 3.911034879755533045e-02 8.518970610521094458e-03 -8.625671993234600154e-02
-1.000000000000000000e+00 1.253304679344314498e-01 8.295974000662290765e-03 -1.545299838376086032e-01
0.000000000000000000e+00 2.112842369650865249e-01 8.511465471661962268e-03 -2.224603797372199099e-01
1.000000000000000000e+00 2.965193580787502947e-01 9.201849063150803823e-03 -2.900165921591258966e-01
2.000000000000000000e+00 3.816201893449118199e-01 1.018931678470795694e-02 -3.577481712245341172e-01
3.000000000000000000e+00 4.650496865575485805e-01 1.152637373711803796e-02 -4.248807508535611954e-01
4.000000000000000000e+00 5.468015039639687602e-01 1.321099613979288649e-02 -4.908721364195985926e-01
5.000000000000000000e+00 6.276947581818876909e-01 1.518537590077959597e-02 -5.564150552951513395e-01
6.000000000000000000e+00 7.073301813122180315e-01 1.747766758120968683e-02 -6.216215149128220263e-01
7.000000000000000000e+00 7.849390797451188950e-01 2.016981714422057259e-02 -6.861278916633886116e-01
8.000000000000000000e+00 8.596306470081422901e-01 2.335701088018745861e-02 -7.492365059601605592e-01
9.000000000000000000e+00 9.320693005587898927e-01 2.696622118110716601e-02 -8.108354960238935982e-01
1.000000000000000000e+01 1.001055864645163718e+00 3.069841216919162383e-02 -8.716588819541971622e-01
