# AoA deg, xA, yA, zA
-5.000000000000000000e+00 1.177065999999999946e+00 3.533001000000000058e+00 -1.231069000000000052e-01
-4.000000000000000000e+00 1.177454000000000001e+00 3.534149999999999903e+00 -8.582974999999999632e-02
-3.000000000000000000e+00 1.177681999999999896e+00 3.534839999999999982e+00 -4.833156999999999731e-02
-2.000000000000000000e+00 1.177750999999999992e+00 3.535063000000000066e+00 -1.075454999999999987e-02
-1.000000000000000000e+00 1.177667000000000019e+00 3.534834000000000032e+00 2.535785000000000122e-02
0.000000000000000000e+00 1.177426000000000084e+00 3.534148000000000067e+00 6.242763999999999952e-02
1.000000000000000000e+00 1.177025999999999906e+00 3.532996999999999943e+00 9.972823000000000104e-02
2.000000000000000000e+00 1.176473000000000102e+00 3.531400999999999790e+00 1.366419000000000106e-01
3.000000000000000000e+00 1.175766000000000089e+00 3.529364000000000168e+00 1.733535999999999966e-01
4.000000000000000000e+00 1.174908000000000063e+00 3.526898000000000089e+00 2.097944999999999949e-01
5.000000000000000000e+00 1.173899999999999944e+00 3.524017000000000177e+00 2.459031000000000133e-01
6.000000000000000000e+00 1.172744999999999926e+00 3.520738999999999841e+00 2.816194000000000197e-01
7.000000000000000000e+00 1.171451000000000020e+00 3.517096000000000000e+00 3.167906999999999806e-01
8.000000000000000000e+00 1.170015000000000027e+00 3.513088999999999906e+00 3.515397000000000105e-01
9.000000000000000000e+00 1.168441999999999981e+00 3.508753000000000011e+00 3.857342999999999744e-01
1.000000000000000000e+01 1.166736999999999913e+00 3.504109000000000140e+00 4.193542000000000103e-01
