# AoA deg, Cl, Cd, Cm
-5.000000000000000000e+00 -2.008884190973815043e-01 -1.448062346711483438e-05 1.051328853930049573e-01
-4.000000000000000000e+00 -1.197738867680354508e-01 -1.983624665124340120e-04 4.135795067760397042e-02
-3.000000000000000000e+00 -3.866930183480064148e-02 -1.487739765690113602e-04 -2.228470165770675762e-02
-2.000000000000000000e+00 4.240091312980137639e-02 1.288905380985614171e-04 -8.584947314228605353e-02
-1.000000000000000000e+00 1.240725682441110173e-01 6.261223835689871259e-04 -1.501992725325828337e-01
0.000000000000000000e+00 2.051710818355813593e-01 1.343243546763978318e-03 -2.139883064930760137e-01
1.000000000000000000e+00 2.859128612216815801e-01 2.279909916380816384e-03 -2.775761203389527365e-01
2.000000000000000000e+00 3.666078535446928854e-01 3.430531055804961465e-03 -3.414079763868127504e-01
3.000000000000000000e+00 4.470404404185617242e-01 4.792706898464321047e-03 -4.053298462101581623e-01
4.000000000000000000e+00 5.271989593788818373e-01 6.365558300350854758e-03 -4.693991172321947403e-01
5.000000000000000000e+00 6.070443068685261734e-01 8.148392373873363653e-03 -5.336449929512798729e-01
6.000000000000000000e+00 6.865486987811146857e-01 1.014119539848548635e-02 -5.980984975327506836e-01
7.000000000000000000e+00 7.657261986766671358e-01 1.234187499086726245e-02 -6.628502273655261234e-01
8.000000000000000000e+00 8.444656701296640033e-01 1.475432778618504352e-02 -7.278238600898095934e-01
9.000000000000000000e+00 9.228130769704128156e-01 1.738213484703889089e-02 -7.930949169719264669e-01
1.000000000000000000e+01 1.000762587966710582e+00 2.021660077717291060e-02 -8.587387007981647224e-01
