# AoA deg, Cl, Cd, Cm
-5.000000000000000000e+00 -2.028700090054806338e-01 7.449450591592228802e-04 1.092260360704957745e-01
-4.000000000000000000e+00 -1.120312109500387759e-01 2.250964708765282134e-04 3.799712323809699421e-02
-3.000000000000000000e+00 -2.114873696539520606e-02 2.327316119124253236e-06 -3.343407297843456472e-02
-2.000000000000000000e+00 6.974729977932560276e-02 7.686802323080586601e-05 -1.049927668622332722e-01
-1.000000000000000000e+00 1.606268478574578162e-01 4.486309947553897607e-04 -1.766040416084109499e-01
0.000000000000000000e+00 2.514599175847941903e-01 1.117210923009280977e-03 -2.481931042174340962e-01
1.000000000000000000e+00 3.422164266634395990e-01 2.081884357884261714e-03 -3.196848703830523220e-01
2.000000000000000000e+00 4.328664300009625321e-01 3.341611281966214674e-03 -3.910045471057321809e-01
3.000000000000000000e+00 5.233798452994677941e-01 4.895034733220097849e-03 -4.620774142126192752e-01
4.000000000000000000e+00 6.137268989733533076e-01 6.740489380331418819e-03 -5.328292613176136561e-01
5.000000000000000000e+00 7.038777488342852218e-01 8.875992947364760507e-03 -6.031858780346153193e-01
6.000000000000000000e+00 7.938028957075888847e-01 1.129925753321452814e-02 -6.730737094176370006e-01
7.000000000000000000e+00 8.834728404185892003e-01 1.400767623407224785e-02 -7.424199287874834186e-01
8.000000000000000000e+00 9.728577407789524845e-01 1.699836087492905684e-02 -8.111515638116010285e-01
9.000000000000000000e+00 1.061928440627663006e+00 2.026811113834639522e-02 -8.791971715176993829e-01
1.000000000000000000e+01 1.150656126817363623e+00 2.381341799459259570e-02 -9.464853817601668329e-01
